experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,place_accuracy,activity_accuracy,env_load_accuracy,resource_state_accuracy,mean_variable_accuracy,mean_variable_accuracy_ci95_low,mean_variable_accuracy_ci95_high,overall_context_accuracy,overall_context_accuracy_ci95_low,overall_context_accuracy_ci95_high,avg_nodes_visited,avg_discovered_candidate_count,avg_visited_node_count,avg_traversed_edge_count,avg_scored_candidate_count,avg_candidate_variable_coverage_count,candidate_all_variable_coverage_rate,avg_recruited_variable_coverage_count,recruited_all_variable_coverage_rate,avg_selected_source_count,avg_estimated_latency,avg_privacy_exposure_cost,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,avg_ego_missing_rate,convergence_time,convergence_time_ci95_low,convergence_time_ci95_high,adaptive_activation_rate,robustness_vs_ego_missingness,OCA_per_source,OCA_per_total_cost,macro_f1_place,macro_f1_place_ci95_low,macro_f1_place_ci95_high,macro_f1_activity,macro_f1_activity_ci95_low,macro_f1_activity_ci95_high,macro_f1_env_load,macro_f1_env_load_ci95_low,macro_f1_env_load_ci95_high,macro_f1_resource_state,macro_f1_resource_state_ci95_low,macro_f1_resource_state_ci95_high
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.574,0.5543333333333332,0.5883333333333333,0.577,0.5734166666666668,0.5687697916666666,0.5785854166666666,0.1395,0.1334979166666667,0.14566666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19737499999999997,5.1449372635045,4.852742195319809,5.430709824698409,0.0,0.34227579460274554,0.1395,0.1395,0.5357554131713641,0.5261764722734209,0.5454552249290056,0.531575956077615,0.522217626866964,0.5405888075148829,0.5749794618056561,0.5655694995761398,0.5838454199483799,0.43331369414502635,0.42368387780427136,0.44268223454490624
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.99975,0.8793333333333333,0.9990000000000001,0.9154166666666668,0.948375,0.9451458333333334,0.9515416666666667,0.8045,0.7935,0.8160895833333333,54.456,53.456,54.456,78.88,0.0,4.0,1.0,4.0,1.0,53.456,1.3138984047358122,8.49106699774092,156.6452,84.40909748970915,0.0,241.05429748970914,1.3138984047358122,8.49106699774092,0.19737499999999997,0.24082944509058926,0.22329323708007,0.25776196180643496,0.0,0.1070883362722704,0.015049760550733312,0.0033374223499763366,0.9907667927474825,0.9854132294372294,0.9956603232170129,0.8642240563395565,0.8539456097933033,0.8746199233790242,0.9989811906832337,0.9983470965517033,0.9995757225213111,0.8776377918912137,0.8679336864334006,0.8876644462941546
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.7045833333333333,0.6823333333333332,0.6445833333333333,0.67375,0.6763125,0.6716239583333333,0.6816046875000001,0.21925,0.2114166666666667,0.22750208333333333,9.33675,8.14225,9.33675,34.08141666666667,8.14225,3.968,0.968,2.9975,0.14725,3.2083333333333335,0.5839875478097704,1.0436268556009907,51.32710416666667,4.6538775124918335,8.14225,56.7952066791585,0.5839875478097704,1.0436268556009907,0.19737499999999997,3.35704891283075,3.1689021518141556,3.5643099557014875,0.15783333333333335,-0.07034126949510514,0.06833766233766234,0.0038603609850134716,0.6622594708079593,0.6520451420123093,0.6732994887126773,0.6587900289709193,0.6486967182792722,0.6699118954177407,0.6320389257182749,0.6240931990308838,0.6404576634897665,0.5895027596051655,0.5759981514543403,0.6022927454924809
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.69075,0.6626666666666666,0.6415,0.6556666666666667,0.6626458333333334,0.658103125,0.6674182291666667,0.2029166666666667,0.1953333333333333,0.21025,9.33675,8.14225,9.33675,34.08141666666667,8.14225,3.968,0.968,2.9385833333333333,0.13316666666666666,2.9824166666666665,0.5681629325694556,0.9668067646818232,51.32710416666667,4.308678621169416,8.14225,56.450007787836086,0.5681629325694556,0.9668067646818232,0.19737499999999997,3.575237243406498,3.3840434093399763,3.7800243345762508,0.15783333333333335,-0.08732685729239983,0.06803766520439242,0.0035946260172242425,0.6485277495916294,0.6382842806675911,0.6583465714557845,0.6385917439590433,0.629648888141071,0.6482351884378227,0.628869037810952,0.6197517435785102,0.6372871577475565,0.5706114745390175,0.5586518203980085,0.5811519263895322
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.319,0.3156666666666667,0.3528333333333334,0.3918333333333333,0.3448333333333333,0.3402067708333334,0.34941927083333335,0.020666666666666667,0.018,0.023166666666666665,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52025,24.594422389167498,22.212221708017168,27.02767166813015,0.0,0.030266720905718254,0.020666666666666667,0.020666666666666667,0.26527036871931226,0.25668792797822576,0.27397514901660563,0.2628968799413168,0.25386454246487744,0.2715969217332643,0.32638648234948553,0.31860950550118594,0.33538734207684245,0.2983150443439806,0.29072713455556776,0.30628361533398446
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.9992499999999999,0.8569166666666668,0.99775,0.9055833333333334,0.939875,0.9368531250000001,0.9427505208333333,0.7739166666666666,0.76275,0.7845,54.552,53.552,54.552,79.424,0.0,4.0,1.0,4.0,1.0,53.552,1.3296776177198293,8.507045907834817,157.55159999999998,84.85807355021305,0.0,242.40967355021306,1.3296776177198293,8.507045907834817,0.52025,0.2910996000813885,0.2716057969312317,0.3112151535171974,0.0,-0.0959188808429368,0.01445168558908475,0.0031925981143089838,0.9959950529701417,0.9926666698462523,0.99878862620545,0.8445842191749432,0.8343612321737192,0.8553475070795032,0.9974853267875099,0.996388083660301,0.9985138416755444,0.8979404384749414,0.8896782133149377,0.9062950256831416
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.6545833333333334,0.6034166666666666,0.5996666666666667,0.62325,0.6202291666666667,0.612875,0.6270213541666667,0.1535,0.14558125,0.16167499999999999,9.3565,8.256583333333332,9.3565,35.48666666666667,8.256583333333332,3.96,0.96,3.5373333333333337,0.6056666666666666,4.1315,0.6321403307644375,1.1027906157521925,52.92824166666667,5.886588586836583,8.256583333333332,59.64048858683658,0.6321403307644375,1.1027906157521925,0.52025,4.978320868895245,4.53312730497801,5.521453839332304,0.7055833333333332,-0.14279427918406445,0.037153576182984385,0.0025737549043801664,0.6141744723429607,0.6007585001107895,0.626420122623958,0.5792362997064895,0.563993042767465,0.595787690683979,0.5861846455160407,0.5723503348020231,0.5987344890649937,0.6045733308866416,0.5913542509775439,0.6183410035697251
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.6294166666666667,0.5879166666666666,0.5906666666666667,0.605,0.60325,0.5964369791666666,0.6101671875000001,0.1365,0.12883125,0.1440833333333333,9.3565,8.256583333333332,9.3565,35.48666666666667,8.256583333333332,3.96,0.96,3.474583333333333,0.57075,3.887666666666667,0.6179454831132857,1.0514639104501238,52.92824166666667,5.5322275900402875,8.256583333333332,59.28612759004029,0.6179454831132857,1.0514639104501238,0.52025,5.633456656204532,5.052487146975675,6.314999215832258,0.7055833333333332,-0.24314908682201666,0.03511103489668181,0.0023023935876515435,0.587815927853744,0.5753221041347601,0.6004966230537171,0.5635108380911764,0.5490722086926455,0.5762071556926769,0.5763879305371487,0.5613169119160202,0.5901641605691045,0.5855928094947838,0.5728063934600153,0.597924004186343
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.3353333333333333,0.37233333333333335,0.553,0.6049166666666667,0.46639583333333323,0.46156197916666664,0.47095989583333336,0.05233333333333333,0.04841666666666667,0.05625,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27727083333333336,11.854413579024229,10.541311872779879,13.429450311759876,0.0,0.22003560929749733,0.05233333333333333,0.05233333333333333,0.30368732809165516,0.2939947557137933,0.31216334122967854,0.3553084399096554,0.3446801401752934,0.3662795858707276,0.5445570966914657,0.5355691667770923,0.553667185614808,0.44849286109883413,0.4389941109825819,0.4576656154540643
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.999,0.8095833333333332,0.9987499999999999,0.91825,0.9313958333333333,0.9280609375,0.9350005208333334,0.743,0.7294083333333333,0.756,54.532,53.532,54.532,78.804,0.0,4.0,1.0,4.0,1.0,53.532,1.320246825908482,8.487455503975278,156.55299999999997,84.63707405493393,0.0,241.19007405493392,1.320246825908482,8.487455503975278,0.27727083333333336,0.352712394553041,0.3264256745268302,0.37926870079204816,0.0,0.19455227497018937,0.01387954868116267,0.0030805579496226403,0.9905952891897102,0.9852836683405923,0.9951726599400563,0.7992063786476046,0.7860383657706776,0.8119093769875813,0.9986894502053654,0.9978802287210803,0.9993767596929307,0.8861796099040371,0.876828082429344,0.8949033148917005
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.5140833333333332,0.5443333333333332,0.65825,0.7034166666666666,0.6050208333333333,0.5995,0.6103338541666666,0.1363333333333333,0.13033124999999998,0.14233541666666666,9.252166666666666,8.11925,9.252166666666666,34.511583333333334,8.11925,3.976,0.976,3.1125,0.24591666666666667,3.39925,0.6032577063149135,1.0624354317209157,51.54661250000001,4.926140124736458,8.11925,57.28467762473645,0.6032577063149135,1.0624354317209157,0.27727083333333336,5.174127406215148,4.824104787210941,5.541994078252351,0.2678333333333333,-0.03653354487529687,0.04010688632296339,0.0023799266922026347,0.4812800704730564,0.4711364439524578,0.49280755460913944,0.5317520226432804,0.5191479400180619,0.5449321919040204,0.644160932319403,0.6346485298192818,0.6532737056738104,0.6241088350378791,0.611740395995053,0.6356910759526803
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.49316666666666664,0.521,0.6535833333333333,0.6914166666666668,0.5897916666666667,0.5850192708333332,0.5945427083333333,0.12158333333333333,0.11583125000000001,0.12783333333333333,9.252166666666666,8.11925,9.252166666666666,34.511583333333334,8.11925,3.976,0.976,3.025416666666667,0.23433333333333334,3.119,0.5823892025699686,0.9699123087318772,51.54661250000001,4.496512125208301,8.11925,56.8550496252083,0.5823892025699686,0.9699123087318772,0.27727083333333336,5.742378921411674,5.28618153680857,6.316971931156215,0.2678333333333333,-0.10599355244549444,0.03898151116810943,0.0021384790644774303,0.46120148533080246,0.45189949564113147,0.4699797309732679,0.5093128655219415,0.49827906822061957,0.5208462252406424,0.6398371463073628,0.630097602816021,0.6494022747238564,0.6101823918992126,0.5999522620283587,0.6204533706588637
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.49416666666666664,0.4736666666666666,0.5125833333333334,0.55325,0.5084166666666666,0.5036666666666667,0.5134822916666666,0.08341666666666667,0.07833125,0.08842291666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2771875,8.048235768478209,7.324203781878744,8.857975672407072,0.0,0.21970662051844242,0.08341666666666667,0.08341666666666667,0.45605280283262956,0.4461369185078226,0.46628367186527775,0.4431210445595454,0.43326121694182307,0.4537538360998432,0.5034633170899795,0.4944598291952741,0.5123722059271002,0.4048616691797329,0.39589143875221405,0.41365634126419826
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.8968333333333333,0.6255,0.83175,0.64375,0.7494583333333332,0.7453119791666667,0.7539796875000001,0.30275,0.29474791666666667,0.31108541666666667,54.452,53.452,54.452,78.604,0.0,4.0,1.0,4.0,1.0,53.452,1.5425553814447772,8.456652546969709,156.61459999999997,88.65634109711159,0.0,245.27094109711157,1.5425553814447772,8.456652546969709,0.2771875,2.1836058172195214,2.0589019183053994,2.3081373625834054,0.0,-0.13218929228315987,0.005663960188580409,0.0012343492410710425,0.866912262468485,0.8570767992115925,0.8773988730993039,0.597223565746157,0.585104774466782,0.6080654860182778,0.8200902534342979,0.8117421609627747,0.8279843003213565,0.5586355365128106,0.5478030454186165,0.5690227814481004
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.5623333333333332,0.5451666666666667,0.5265,0.5770833333333333,0.5527708333333332,0.5477708333333332,0.558021875,0.09783333333333334,0.09183333333333332,0.10366666666666666,9.382916666666668,8.194083333333333,9.382916666666668,34.66,8.194083333333333,3.96,0.96,2.541083333333333,0.04591666666666666,2.0875,0.6601511459637527,0.7182729512852639,52.120341666666675,3.10512191742486,8.194083333333333,56.044871917424864,0.6601511459637527,0.7182729512852639,0.2771875,7.322136913453526,6.669251435485141,8.030477513919749,0.3124166666666667,0.14470730005708135,0.04686626746506987,0.0017456250676686096,0.5189721279662585,0.5082505123381418,0.5294869349396031,0.5170898811736379,0.5053369365145939,0.5280652620685954,0.5164177188431438,0.5065385782442821,0.5254990719858453,0.4780579242056488,0.46767902979587217,0.4894157687169659
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.55575,0.5365833333333333,0.5211666666666668,0.5778333333333334,0.5478333333333333,0.5430411458333334,0.5525229166666666,0.09508333333333334,0.08941666666666667,0.10075,9.382916666666668,8.194083333333333,9.382916666666668,34.66,8.194083333333333,3.96,0.96,2.21025,0.029333333333333336,1.475,0.6253616659044935,0.5040096304299805,52.120341666666675,2.1818692666072144,8.194083333333333,55.12161926660722,0.6253616659044935,0.5040096304299805,0.2771875,7.685282712123013,6.952989049602774,8.60154453377106,0.3124166666666667,0.18157997263724387,0.0644632768361582,0.0017249735149006227,0.5123840921380841,0.5009320322385296,0.5227052904071946,0.5079834593631221,0.4972433621755865,0.5200987291905483,0.511501916967653,0.5027620413830121,0.5212603335128869,0.4761790976890272,0.4658059981165029,0.48786192197299355
