scenario,seed,episode,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop
nominal,7,0,6,30,53,60
degraded_ego,7,0,6,30,53,60
ambiguous_local_context,7,0,5,29,52,60
noisy_untrusted_external,7,0,7,31,54,60
nominal,7,1,6,30,53,60
degraded_ego,7,1,5,29,52,60
ambiguous_local_context,7,1,7,31,54,60
noisy_untrusted_external,7,1,5,29,52,60
nominal,7,2,8,32,55,60
degraded_ego,7,2,7,31,54,60
ambiguous_local_context,7,2,5,29,52,60
noisy_untrusted_external,7,2,5,29,52,60
nominal,7,3,8,32,55,60
degraded_ego,7,3,6,30,53,60
ambiguous_local_context,7,3,6,30,53,60
noisy_untrusted_external,7,3,7,31,54,60
nominal,7,4,7,31,54,60
degraded_ego,7,4,6,30,53,60
ambiguous_local_context,7,4,6,30,53,60
noisy_untrusted_external,7,4,8,32,55,60
nominal,7,5,7,31,54,60
degraded_ego,7,5,8,32,55,60
ambiguous_local_context,7,5,5,29,52,60
noisy_untrusted_external,7,5,5,29,52,60
nominal,7,6,5,29,52,60
degraded_ego,7,6,8,32,55,60
ambiguous_local_context,7,6,6,30,53,60
noisy_untrusted_external,7,6,6,30,53,60
nominal,7,7,5,29,52,60
degraded_ego,7,7,6,30,53,60
ambiguous_local_context,7,7,8,32,55,60
noisy_untrusted_external,7,7,5,29,52,60
nominal,7,8,6,30,53,60
degraded_ego,7,8,8,32,55,60
ambiguous_local_context,7,8,5,29,52,60
noisy_untrusted_external,7,8,8,32,55,60
nominal,7,9,7,31,54,60
degraded_ego,7,9,7,31,54,60
ambiguous_local_context,7,9,5,29,52,60
noisy_untrusted_external,7,9,6,30,53,60
nominal,7,10,6,30,53,60
degraded_ego,7,10,5,29,52,60
ambiguous_local_context,7,10,6,30,53,60
noisy_untrusted_external,7,10,7,31,54,60
nominal,7,11,8,32,55,60
degraded_ego,7,11,5,29,52,60
ambiguous_local_context,7,11,7,31,54,60
noisy_untrusted_external,7,11,6,30,53,60
nominal,7,12,5,29,52,60
degraded_ego,7,12,7,31,54,60
ambiguous_local_context,7,12,5,29,52,60
noisy_untrusted_external,7,12,6,30,53,60
nominal,7,13,8,32,55,60
degraded_ego,7,13,6,30,53,60
ambiguous_local_context,7,13,7,31,54,60
noisy_untrusted_external,7,13,5,29,52,60
nominal,7,14,7,31,54,60
degraded_ego,7,14,5,29,52,60
ambiguous_local_context,7,14,5,29,52,60
noisy_untrusted_external,7,14,6,30,53,60
nominal,7,15,7,31,54,60
degraded_ego,7,15,8,32,55,60
ambiguous_local_context,7,15,8,32,55,60
noisy_untrusted_external,7,15,7,31,54,60
nominal,7,16,5,29,52,60
degraded_ego,7,16,6,30,53,60
ambiguous_local_context,7,16,5,29,52,60
noisy_untrusted_external,7,16,8,32,55,60
nominal,7,17,8,32,55,60
degraded_ego,7,17,5,29,52,60
ambiguous_local_context,7,17,5,29,52,60
noisy_untrusted_external,7,17,8,32,55,60
nominal,7,18,5,29,52,60
degraded_ego,7,18,5,29,52,60
ambiguous_local_context,7,18,6,30,53,60
noisy_untrusted_external,7,18,8,32,55,60
nominal,7,19,5,29,52,60
degraded_ego,7,19,8,32,55,60
ambiguous_local_context,7,19,6,30,53,60
noisy_untrusted_external,7,19,7,31,54,60
nominal,7,20,6,30,53,60
degraded_ego,7,20,5,29,52,60
ambiguous_local_context,7,20,7,31,54,60
noisy_untrusted_external,7,20,8,32,55,60
nominal,7,21,8,32,55,60
degraded_ego,7,21,5,29,52,60
ambiguous_local_context,7,21,6,30,53,60
noisy_untrusted_external,7,21,7,31,54,60
nominal,7,22,8,32,55,60
degraded_ego,7,22,7,31,54,60
ambiguous_local_context,7,22,8,32,55,60
noisy_untrusted_external,7,22,7,31,54,60
nominal,7,23,5,29,52,60
degraded_ego,7,23,5,29,52,60
ambiguous_local_context,7,23,7,31,54,60
noisy_untrusted_external,7,23,7,31,54,60
nominal,7,24,8,32,55,60
degraded_ego,7,24,6,30,53,60
ambiguous_local_context,7,24,7,31,54,60
noisy_untrusted_external,7,24,7,31,54,60
nominal,7,25,6,30,53,60
degraded_ego,7,25,5,29,52,60
ambiguous_local_context,7,25,7,31,54,60
noisy_untrusted_external,7,25,5,29,52,60
nominal,7,26,5,29,52,60
degraded_ego,7,26,6,30,53,60
ambiguous_local_context,7,26,6,30,53,60
noisy_untrusted_external,7,26,5,29,52,60
nominal,7,27,5,29,52,60
degraded_ego,7,27,5,29,52,60
ambiguous_local_context,7,27,7,31,54,60
noisy_untrusted_external,7,27,6,30,53,60
nominal,7,28,5,29,52,60
degraded_ego,7,28,5,29,52,60
ambiguous_local_context,7,28,6,30,53,60
noisy_untrusted_external,7,28,8,32,55,60
nominal,7,29,8,32,55,60
degraded_ego,7,29,8,32,55,60
ambiguous_local_context,7,29,5,29,52,60
noisy_untrusted_external,7,29,5,29,52,60
nominal,7,30,6,30,53,60
degraded_ego,7,30,7,31,54,60
ambiguous_local_context,7,30,7,31,54,60
noisy_untrusted_external,7,30,6,30,53,60
nominal,7,31,5,29,52,60
degraded_ego,7,31,8,32,55,60
ambiguous_local_context,7,31,6,30,53,60
noisy_untrusted_external,7,31,6,30,53,60
nominal,7,32,5,29,52,60
degraded_ego,7,32,6,30,53,60
ambiguous_local_context,7,32,8,32,55,60
noisy_untrusted_external,7,32,5,29,52,60
nominal,7,33,6,30,53,60
degraded_ego,7,33,7,31,54,60
ambiguous_local_context,7,33,8,32,55,60
noisy_untrusted_external,7,33,8,32,55,60
nominal,7,34,7,31,54,60
degraded_ego,7,34,8,32,55,60
ambiguous_local_context,7,34,7,31,54,60
noisy_untrusted_external,7,34,5,29,52,60
nominal,7,35,8,32,55,60
degraded_ego,7,35,7,31,54,60
ambiguous_local_context,7,35,8,32,55,60
noisy_untrusted_external,7,35,8,32,55,60
nominal,7,36,8,32,55,60
degraded_ego,7,36,8,32,55,60
ambiguous_local_context,7,36,7,31,54,60
noisy_untrusted_external,7,36,7,31,54,60
nominal,7,37,7,31,54,60
degraded_ego,7,37,8,32,55,60
ambiguous_local_context,7,37,7,31,54,60
noisy_untrusted_external,7,37,5,29,52,60
nominal,7,38,5,29,52,60
degraded_ego,7,38,8,32,55,60
ambiguous_local_context,7,38,6,30,53,60
noisy_untrusted_external,7,38,8,32,55,60
nominal,7,39,8,32,55,60
degraded_ego,7,39,7,31,54,60
ambiguous_local_context,7,39,6,30,53,60
noisy_untrusted_external,7,39,6,30,53,60
nominal,7,40,7,31,54,60
degraded_ego,7,40,5,29,52,60
ambiguous_local_context,7,40,5,29,52,60
noisy_untrusted_external,7,40,5,29,52,60
nominal,7,41,7,31,54,60
degraded_ego,7,41,6,30,53,60
ambiguous_local_context,7,41,8,32,55,60
noisy_untrusted_external,7,41,5,29,52,60
nominal,7,42,6,30,53,60
degraded_ego,7,42,7,31,54,60
ambiguous_local_context,7,42,6,30,53,60
noisy_untrusted_external,7,42,7,31,54,60
nominal,7,43,7,31,54,60
degraded_ego,7,43,6,30,53,60
ambiguous_local_context,7,43,7,31,54,60
noisy_untrusted_external,7,43,8,32,55,60
nominal,7,44,5,29,52,60
degraded_ego,7,44,5,29,52,60
ambiguous_local_context,7,44,8,32,55,60
noisy_untrusted_external,7,44,5,29,52,60
nominal,7,45,6,30,53,60
degraded_ego,7,45,5,29,52,60
ambiguous_local_context,7,45,6,30,53,60
noisy_untrusted_external,7,45,7,31,54,60
nominal,7,46,6,30,53,60
degraded_ego,7,46,8,32,55,60
ambiguous_local_context,7,46,8,32,55,60
noisy_untrusted_external,7,46,5,29,52,60
nominal,7,47,5,29,52,60
degraded_ego,7,47,8,32,55,60
ambiguous_local_context,7,47,8,32,55,60
noisy_untrusted_external,7,47,5,29,52,60
nominal,7,48,8,32,55,60
degraded_ego,7,48,6,30,53,60
ambiguous_local_context,7,48,5,29,52,60
noisy_untrusted_external,7,48,5,29,52,60
nominal,7,49,6,30,53,60
degraded_ego,7,49,5,29,52,60
ambiguous_local_context,7,49,6,30,53,60
noisy_untrusted_external,7,49,7,31,54,60
nominal,11,0,6,30,53,60
degraded_ego,11,0,5,29,52,60
ambiguous_local_context,11,0,5,29,52,60
noisy_untrusted_external,11,0,5,29,52,60
nominal,11,1,5,29,52,60
degraded_ego,11,1,5,29,52,60
ambiguous_local_context,11,1,8,32,55,60
noisy_untrusted_external,11,1,8,32,55,60
nominal,11,2,8,32,55,60
degraded_ego,11,2,7,31,54,60
ambiguous_local_context,11,2,7,31,54,60
noisy_untrusted_external,11,2,5,29,52,60
nominal,11,3,5,29,52,60
degraded_ego,11,3,8,32,55,60
ambiguous_local_context,11,3,5,29,52,60
noisy_untrusted_external,11,3,5,29,52,60
nominal,11,4,7,31,54,60
degraded_ego,11,4,6,30,53,60
ambiguous_local_context,11,4,7,31,54,60
noisy_untrusted_external,11,4,8,32,55,60
nominal,11,5,6,30,53,60
degraded_ego,11,5,8,32,55,60
ambiguous_local_context,11,5,6,30,53,60
noisy_untrusted_external,11,5,7,31,54,60
nominal,11,6,5,29,52,60
degraded_ego,11,6,8,32,55,60
ambiguous_local_context,11,6,8,32,55,60
noisy_untrusted_external,11,6,8,32,55,60
nominal,11,7,8,32,55,60
degraded_ego,11,7,5,29,52,60
ambiguous_local_context,11,7,5,29,52,60
noisy_untrusted_external,11,7,7,31,54,60
nominal,11,8,5,29,52,60
degraded_ego,11,8,5,29,52,60
ambiguous_local_context,11,8,7,31,54,60
noisy_untrusted_external,11,8,7,31,54,60
nominal,11,9,7,31,54,60
degraded_ego,11,9,6,30,53,60
ambiguous_local_context,11,9,6,30,53,60
noisy_untrusted_external,11,9,5,29,52,60
nominal,11,10,6,30,53,60
degraded_ego,11,10,8,32,55,60
ambiguous_local_context,11,10,8,32,55,60
noisy_untrusted_external,11,10,5,29,52,60
nominal,11,11,6,30,53,60
degraded_ego,11,11,6,30,53,60
ambiguous_local_context,11,11,8,32,55,60
noisy_untrusted_external,11,11,5,29,52,60
nominal,11,12,7,31,54,60
degraded_ego,11,12,8,32,55,60
ambiguous_local_context,11,12,8,32,55,60
noisy_untrusted_external,11,12,6,30,53,60
nominal,11,13,8,32,55,60
degraded_ego,11,13,6,30,53,60
ambiguous_local_context,11,13,7,31,54,60
noisy_untrusted_external,11,13,6,30,53,60
nominal,11,14,7,31,54,60
degraded_ego,11,14,8,32,55,60
ambiguous_local_context,11,14,5,29,52,60
noisy_untrusted_external,11,14,8,32,55,60
nominal,11,15,8,32,55,60
degraded_ego,11,15,5,29,52,60
ambiguous_local_context,11,15,5,29,52,60
noisy_untrusted_external,11,15,7,31,54,60
nominal,11,16,5,29,52,60
degraded_ego,11,16,8,32,55,60
ambiguous_local_context,11,16,7,31,54,60
noisy_untrusted_external,11,16,5,29,52,60
nominal,11,17,8,32,55,60
degraded_ego,11,17,7,31,54,60
ambiguous_local_context,11,17,6,30,53,60
noisy_untrusted_external,11,17,8,32,55,60
nominal,11,18,8,32,55,60
degraded_ego,11,18,8,32,55,60
ambiguous_local_context,11,18,7,31,54,60
noisy_untrusted_external,11,18,5,29,52,60
nominal,11,19,8,32,55,60
degraded_ego,11,19,5,29,52,60
ambiguous_local_context,11,19,8,32,55,60
noisy_untrusted_external,11,19,5,29,52,60
nominal,11,20,7,31,54,60
degraded_ego,11,20,7,31,54,60
ambiguous_local_context,11,20,6,30,53,60
noisy_untrusted_external,11,20,5,29,52,60
nominal,11,21,8,32,55,60
degraded_ego,11,21,5,29,52,60
ambiguous_local_context,11,21,5,29,52,60
noisy_untrusted_external,11,21,5,29,52,60
nominal,11,22,8,32,55,60
degraded_ego,11,22,7,31,54,60
ambiguous_local_context,11,22,5,29,52,60
noisy_untrusted_external,11,22,6,30,53,60
nominal,11,23,8,32,55,60
degraded_ego,11,23,6,30,53,60
ambiguous_local_context,11,23,7,31,54,60
noisy_untrusted_external,11,23,6,30,53,60
nominal,11,24,6,30,53,60
degraded_ego,11,24,5,29,52,60
ambiguous_local_context,11,24,6,30,53,60
noisy_untrusted_external,11,24,6,30,53,60
nominal,11,25,8,32,55,60
degraded_ego,11,25,7,31,54,60
ambiguous_local_context,11,25,7,31,54,60
noisy_untrusted_external,11,25,5,29,52,60
nominal,11,26,5,29,52,60
degraded_ego,11,26,7,31,54,60
ambiguous_local_context,11,26,7,31,54,60
noisy_untrusted_external,11,26,8,32,55,60
nominal,11,27,8,32,55,60
degraded_ego,11,27,8,32,55,60
ambiguous_local_context,11,27,5,29,52,60
noisy_untrusted_external,11,27,8,32,55,60
nominal,11,28,5,29,52,60
degraded_ego,11,28,5,29,52,60
ambiguous_local_context,11,28,8,32,55,60
noisy_untrusted_external,11,28,8,32,55,60
nominal,11,29,5,29,52,60
degraded_ego,11,29,5,29,52,60
ambiguous_local_context,11,29,8,32,55,60
noisy_untrusted_external,11,29,7,31,54,60
nominal,11,30,5,29,52,60
degraded_ego,11,30,7,31,54,60
ambiguous_local_context,11,30,7,31,54,60
noisy_untrusted_external,11,30,6,30,53,60
nominal,11,31,8,32,55,60
degraded_ego,11,31,8,32,55,60
ambiguous_local_context,11,31,7,31,54,60
noisy_untrusted_external,11,31,8,32,55,60
nominal,11,32,6,30,53,60
degraded_ego,11,32,8,32,55,60
ambiguous_local_context,11,32,8,32,55,60
noisy_untrusted_external,11,32,7,31,54,60
nominal,11,33,7,31,54,60
degraded_ego,11,33,7,31,54,60
ambiguous_local_context,11,33,6,30,53,60
noisy_untrusted_external,11,33,7,31,54,60
nominal,11,34,5,29,52,60
degraded_ego,11,34,6,30,53,60
ambiguous_local_context,11,34,6,30,53,60
noisy_untrusted_external,11,34,6,30,53,60
nominal,11,35,7,31,54,60
degraded_ego,11,35,7,31,54,60
ambiguous_local_context,11,35,6,30,53,60
noisy_untrusted_external,11,35,5,29,52,60
nominal,11,36,7,31,54,60
degraded_ego,11,36,7,31,54,60
ambiguous_local_context,11,36,8,32,55,60
noisy_untrusted_external,11,36,8,32,55,60
nominal,11,37,6,30,53,60
degraded_ego,11,37,6,30,53,60
ambiguous_local_context,11,37,7,31,54,60
noisy_untrusted_external,11,37,6,30,53,60
nominal,11,38,6,30,53,60
degraded_ego,11,38,5,29,52,60
ambiguous_local_context,11,38,6,30,53,60
noisy_untrusted_external,11,38,8,32,55,60
nominal,11,39,6,30,53,60
degraded_ego,11,39,8,32,55,60
ambiguous_local_context,11,39,7,31,54,60
noisy_untrusted_external,11,39,5,29,52,60
nominal,11,40,5,29,52,60
degraded_ego,11,40,7,31,54,60
ambiguous_local_context,11,40,8,32,55,60
noisy_untrusted_external,11,40,7,31,54,60
nominal,11,41,6,30,53,60
degraded_ego,11,41,7,31,54,60
ambiguous_local_context,11,41,7,31,54,60
noisy_untrusted_external,11,41,5,29,52,60
nominal,11,42,5,29,52,60
degraded_ego,11,42,8,32,55,60
ambiguous_local_context,11,42,7,31,54,60
noisy_untrusted_external,11,42,7,31,54,60
nominal,11,43,7,31,54,60
degraded_ego,11,43,6,30,53,60
ambiguous_local_context,11,43,7,31,54,60
noisy_untrusted_external,11,43,5,29,52,60
nominal,11,44,8,32,55,60
degraded_ego,11,44,6,30,53,60
ambiguous_local_context,11,44,8,32,55,60
noisy_untrusted_external,11,44,6,30,53,60
nominal,11,45,8,32,55,60
degraded_ego,11,45,7,31,54,60
ambiguous_local_context,11,45,5,29,52,60
noisy_untrusted_external,11,45,6,30,53,60
nominal,11,46,6,30,53,60
degraded_ego,11,46,8,32,55,60
ambiguous_local_context,11,46,8,32,55,60
noisy_untrusted_external,11,46,5,29,52,60
nominal,11,47,6,30,53,60
degraded_ego,11,47,8,32,55,60
ambiguous_local_context,11,47,8,32,55,60
noisy_untrusted_external,11,47,6,30,53,60
nominal,11,48,5,29,52,60
degraded_ego,11,48,7,31,54,60
ambiguous_local_context,11,48,6,30,53,60
noisy_untrusted_external,11,48,6,30,53,60
nominal,11,49,5,29,52,60
degraded_ego,11,49,8,32,55,60
ambiguous_local_context,11,49,6,30,53,60
noisy_untrusted_external,11,49,6,30,53,60
nominal,13,0,7,31,54,60
degraded_ego,13,0,6,30,53,60
ambiguous_local_context,13,0,5,29,52,60
noisy_untrusted_external,13,0,6,30,53,60
nominal,13,1,6,30,53,60
degraded_ego,13,1,8,32,55,60
ambiguous_local_context,13,1,8,32,55,60
noisy_untrusted_external,13,1,7,31,54,60
nominal,13,2,7,31,54,60
degraded_ego,13,2,6,30,53,60
ambiguous_local_context,13,2,7,31,54,60
noisy_untrusted_external,13,2,6,30,53,60
nominal,13,3,6,30,53,60
degraded_ego,13,3,8,32,55,60
ambiguous_local_context,13,3,6,30,53,60
noisy_untrusted_external,13,3,7,31,54,60
nominal,13,4,5,29,52,60
degraded_ego,13,4,7,31,54,60
ambiguous_local_context,13,4,7,31,54,60
noisy_untrusted_external,13,4,7,31,54,60
nominal,13,5,6,30,53,60
degraded_ego,13,5,5,29,52,60
ambiguous_local_context,13,5,6,30,53,60
noisy_untrusted_external,13,5,8,32,55,60
nominal,13,6,6,30,53,60
degraded_ego,13,6,8,32,55,60
ambiguous_local_context,13,6,5,29,52,60
noisy_untrusted_external,13,6,7,31,54,60
nominal,13,7,6,30,53,60
degraded_ego,13,7,7,31,54,60
ambiguous_local_context,13,7,8,32,55,60
noisy_untrusted_external,13,7,6,30,53,60
nominal,13,8,8,32,55,60
degraded_ego,13,8,7,31,54,60
ambiguous_local_context,13,8,6,30,53,60
noisy_untrusted_external,13,8,8,32,55,60
nominal,13,9,6,30,53,60
degraded_ego,13,9,8,32,55,60
ambiguous_local_context,13,9,5,29,52,60
noisy_untrusted_external,13,9,7,31,54,60
nominal,13,10,8,32,55,60
degraded_ego,13,10,8,32,55,60
ambiguous_local_context,13,10,7,31,54,60
noisy_untrusted_external,13,10,8,32,55,60
nominal,13,11,8,32,55,60
degraded_ego,13,11,5,29,52,60
ambiguous_local_context,13,11,6,30,53,60
noisy_untrusted_external,13,11,8,32,55,60
nominal,13,12,7,31,54,60
degraded_ego,13,12,8,32,55,60
ambiguous_local_context,13,12,8,32,55,60
noisy_untrusted_external,13,12,8,32,55,60
nominal,13,13,5,29,52,60
degraded_ego,13,13,8,32,55,60
ambiguous_local_context,13,13,7,31,54,60
noisy_untrusted_external,13,13,7,31,54,60
nominal,13,14,8,32,55,60
degraded_ego,13,14,8,32,55,60
ambiguous_local_context,13,14,5,29,52,60
noisy_untrusted_external,13,14,5,29,52,60
nominal,13,15,5,29,52,60
degraded_ego,13,15,7,31,54,60
ambiguous_local_context,13,15,7,31,54,60
noisy_untrusted_external,13,15,5,29,52,60
nominal,13,16,7,31,54,60
degraded_ego,13,16,6,30,53,60
ambiguous_local_context,13,16,6,30,53,60
noisy_untrusted_external,13,16,6,30,53,60
nominal,13,17,5,29,52,60
degraded_ego,13,17,7,31,54,60
ambiguous_local_context,13,17,8,32,55,60
noisy_untrusted_external,13,17,8,32,55,60
nominal,13,18,5,29,52,60
degraded_ego,13,18,5,29,52,60
ambiguous_local_context,13,18,8,32,55,60
noisy_untrusted_external,13,18,5,29,52,60
nominal,13,19,5,29,52,60
degraded_ego,13,19,8,32,55,60
ambiguous_local_context,13,19,7,31,54,60
noisy_untrusted_external,13,19,6,30,53,60
nominal,13,20,7,31,54,60
degraded_ego,13,20,5,29,52,60
ambiguous_local_context,13,20,8,32,55,60
noisy_untrusted_external,13,20,8,32,55,60
nominal,13,21,5,29,52,60
degraded_ego,13,21,7,31,54,60
ambiguous_local_context,13,21,5,29,52,60
noisy_untrusted_external,13,21,7,31,54,60
nominal,13,22,7,31,54,60
degraded_ego,13,22,5,29,52,60
ambiguous_local_context,13,22,6,30,53,60
noisy_untrusted_external,13,22,8,32,55,60
nominal,13,23,5,29,52,60
degraded_ego,13,23,8,32,55,60
ambiguous_local_context,13,23,8,32,55,60
noisy_untrusted_external,13,23,8,32,55,60
nominal,13,24,7,31,54,60
degraded_ego,13,24,6,30,53,60
ambiguous_local_context,13,24,6,30,53,60
noisy_untrusted_external,13,24,5,29,52,60
nominal,13,25,8,32,55,60
